,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1,1750,,,,1760,,,,,Cat Toy Soft-paste porcelain,Soft-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/DP-247-001.jpg,Saint James's Factory,"British, ca. 1748/49–1760",,,,
4,1740,,,,1750,,,,,Cat Figure Lead-glazed earthenware,Lead-glazed earthenware,https://images.metmuseum.org/CRDImages/es/original/132687.jpg,John Astbury,active 1688–1743,,,,
7,1813,,,,1879,,,,,Cat Hanging scroll Hanging scroll; ink and color on paper,Hanging scroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP-14880-002.jpg,Wang Li,"Chinese, 1813–1879",,,,
22,1550,,,,1599,,,,,Musk Cat Hanging scroll Hanging scroll; ink and color on paper,Hanging scroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP361166.jpg,Uto Gyoshi,"Japanese, active second half of 16th century",,,,
49,1587,,,,1588,,,,,Two Children Teasing a Cat Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP243404.jpg,Annibale Carracci,"Italian, Bologna 1560–1609 Rome",,,,
76,1743,,,,1743,,,,,Harlequin with Bird and Cat Figure Hard-paste porcelain,Hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/ES6387.jpg,Johann Friedrich Eberlein,"German, 1695–1749",,,,
87,1784,,,,1784,,,,,"Winter Landscape with Peasants Gathering and Chopping Wood Drawing Pen and gray ink, brush and gray wash, over black chalk; framing lines in pen and brown ink","Pen and gray ink, brush and gray wash, over black chalk; framing lines in pen and brown ink",https://images.metmuseum.org/CRDImages/dp/original/DP800187.jpg,Jacob Cats,"Dutch, Altona 1741–1799 Amsterdam",,,,
93,1740,,,,1750,,,,,"Snuffbox in the form of a cat Snuffbox Hard-paste porcelain, gold","Hard-paste porcelain, gold",https://images.metmuseum.org/CRDImages/es/original/ES6412.jpg,Meissen Manufactory,"German, 1710–present",,,,
111,1785,,,,1785,,,,,"A Stormy Scene with Figures Unloading Boats Near a House on the Water's Edge Drawing Point of brush, gray and blue-gray wash over traces of black chalk","Point of brush, gray and blue-gray wash over traces of black chalk",https://images.metmuseum.org/CRDImages/dp/original/DP800184.jpg,Jacob Cats,"Dutch, Altona 1741–1799 Amsterdam",,,,
125,1645,,,,1655,,,,,Saint Teresa of Avila's Vision of the Dove Print Engraving; second state of two,Engraving; second state of two,https://images.metmuseum.org/CRDImages/dp/original/DP878530.jpg,Pierre van Schuppen,"Flemish, Antwerp 1627–1702 Paris",,,,
